"Tijd","Gebruikte fietsen","Vrije fietsen"
"2022-12-09T13:25:02.457Z",54,6
"2022-12-09T14:25:02.385Z",52,8
"2022-12-09T15:25:05.013Z",47,13
"2022-12-09T16:25:00.529Z",43,15
"2022-12-09T17:25:00.621Z",35,23
"2022-12-09T18:25:25.461Z",33,23
"2022-12-09T19:25:06.877Z",35,20
"2022-12-09T20:25:11.537Z",36,19
"2022-12-09T21:25:19.816Z",32,23
"2022-12-09T22:25:17.56Z",27,28
"2022-12-09T23:25:00.379Z",26,29
"2022-12-10T00:25:18.347Z",26,29
"2022-12-10T01:25:15.483Z",24,31
"2022-12-10T02:25:13.522Z",24,31
"2022-12-10T03:25:01.95Z",23,32
"2022-12-10T04:25:21.201Z",22,33
"2022-12-10T05:25:22.16Z",22,33
"2022-12-10T06:25:02.296Z",22,33
"2022-12-10T07:25:25.523Z",21,34
"2022-12-10T08:25:13.743Z",23,32
"2022-12-10T09:25:21.074Z",23,32
"2022-12-10T10:25:22.701Z",21,34
"2022-12-10T11:25:04.885Z",21,34
"2022-12-10T12:25:15.104Z",24,31
